iter	Passed	Remaining
643	1021	564
644	1022	562
645	1023	561
646	1028	560
647	1029	559
648	1030	557
649	1031	555
650	1032	553
651	1034	552
652	1035	550
653	1036	548
654	1037	546
655	1038	544
656	1039	542
657	1042	541
658	1043	539
659	1044	538
660	1045	536
661	1046	534
662	1047	532
663	1048	530
664	1049	528
665	1050	527
666	1052	525
667	1052	523
668	1054	521
669	1056	520
670	1057	518
671	1058	516
672	1059	514
673	1060	512
674	1061	511
675	1062	509
676	1064	507
677	1065	506
678	1066	504
679	1067	502
680	1069	500
681	1071	499
682	1072	497
683	1073	495
684	1074	494
685	1075	492
686	1077	490
687	1078	489
688	1080	487
689	1081	485
690	1082	483
691	1085	483
692	1086	481
693	1087	479
694	1089	478
695	1090	476
696	1091	474
697	1092	472
698	1093	470
699	1094	469
700	1096	467
701	1097	465
702	1099	464
703	1100	462
704	1102	461
705	1103	459
706	1104	457
707	1105	456
708	1107	454
709	1108	452
710	1109	451
711	1110	449
712	1111	447
713	1113	446
714	1115	444
715	1116	442
716	1117	441
717	1118	439
718	1119	437
719	1121	436
720	1122	434
721	1123	432
722	1124	430
723	1125	429
724	1127	427
725	1128	425
726	1129	424
727	1131	422
728	1132	420
729	1133	419
730	1134	417
731	1136	415
732	1137	414
733	1138	412
734	1139	410
735	1141	409
736	1142	407
737	1143	406
738	1145	404
739	1146	402
740	1148	401
741	1149	399
742	1150	397
743	1151	396
744	1153	394
745	1154	393
746	1155	391
747	1156	389
748	1158	388
749	1159	386
750	1160	384
751	1162	383
752	1163	381
753	1165	380
754	1166	378
755	1167	376
756	1169	375
757	1170	373
758	1173	372
759	1175	371
760	1176	369
761	1177	367
762	1178	366
763	1179	364
764	1180	362
765	1181	360
766	1182	359
767	1183	357
768	1185	356
769	1187	354
770	1189	353
771	1192	352
772	1193	350
773	1195	348
774	1196	347
775	1198	345
776	1199	344
777	1201	342
778	1203	341
779	1205	340
780	1208	338
781	1210	337
782	1211	335
783	1212	334
784	1214	332
785	1218	331
786	1219	330
787	1220	328
788	1221	326
789	1223	325
790	1224	323
791	1225	321
792	1226	320
793	1228	318
794	1229	317
795	1230	315
796	1232	313
797	1234	312
798	1235	310
799	1236	309
800	1237	307
801	1239	305
802	1240	304
803	1241	302
804	1242	301
805	1244	299
806	1245	297
807	1247	296
808	1249	295
809	1251	293
810	1252	291
811	1254	290
812	1256	288
813	1257	287
814	1258	285
815	1259	284
816	1262	282
817	1263	281
818	1265	279
819	1266	278
820	1267	276
821	1269	274
822	1270	273
823	1271	271
824	1272	269
825	1273	268
826	1274	266
827	1276	265
828	1278	263
829	1279	262
830	1280	260
831	1282	258
832	1283	257
833	1285	255
834	1286	254
835	1287	252
836	1288	250
837	1289	249
838	1294	248
839	1296	246
840	1298	245
841	1300	244
842	1301	242
843	1302	240
844	1304	239
845	1305	237
846	1308	236
847	1309	234
848	1310	233
849	1312	231
850	1313	229
851	1314	228
852	1315	226
853	1316	225
854	1318	223
855	1319	221
856	1320	220
857	1322	218
858	1324	217
859	1325	215
860	1326	214
861	1328	212
862	1329	211
863	1331	209
864	1332	207
865	1332	206
866	1333	204
867	1336	203
868	1338	201
869	1339	200
870	1340	198
871	1342	197
872	1343	195
873	1344	193
874	1345	192
875	1346	190
876	1347	188
877	1348	187
878	1349	185
879	1351	184
880	1353	182
881	1354	181
882	1355	179
883	1356	178
884	1357	176
885	1358	174
886	1359	173
887	1360	171
888	1362	170
889	1363	168
890	1365	167
891	1367	165
892	1368	163
893	1369	162
894	1371	160
895	1372	159
896	1374	157
897	1375	156
898	1376	154
899	1377	153
900	1380	151
901	1382	150
902	1383	148
903	1385	147
904	1386	145
905	1387	143
906	1389	142
907	1390	140
908	1391	139
909	1393	137
910	1394	136
911	1396	134
912	1398	133
913	1399	131
914	1400	130
915	1401	128
916	1402	126
917	1404	125
918	1405	123
919	1406	122
920	1407	120
921	1408	119
922	1411	117
923	1412	116
924	1414	114
925	1414	113
926	1417	111
927	1418	110
928	1419	108
929	1420	106
930	1421	105
931	1423	103
932	1425	102
933	1427	100
934	1427	99
935	1429	97
936	1432	96
937	1433	94
938	1434	93
939	1436	91
940	1437	90
941	1440	88
942	1442	87
943	1443	85
944	1445	84
945	1446	82
946	1448	81
947	1449	79
948	1450	77
949	1452	76
950	1453	74
951	1455	73
